date,open,close,high,low,volume,volume
2023-12-05,22.83,22.68,23.69,22.2,92485.0,92485.0
2023-12-06,22.3,22.49,23.3,22.01,57392.0,57392.0
2023-12-07,22.22,22.41,23.09,22.22,41670.0,41670.0
2023-12-08,22.17,21.93,22.7,21.8,50968.0,50968.0
2023-12-11,21.7,22.04,22.15,21.21,37003.0,37003.0
2023-12-12,22.09,22.22,22.5,21.93,33611.0,33611.0
2023-12-13,22.23,21.75,22.36,21.75,35551.0,35551.0
2023-12-14,21.77,21.44,22.18,21.41,34600.0,34600.0
2023-12-15,21.42,21.1,21.65,20.9,39618.0,39618.0
2023-12-18,20.99,20.31,21.29,20.26,39577.0,39577.0
2023-12-19,20.3,20.45,20.7,20.12,33319.0,33319.0
2023-12-20,20.46,19.9,20.65,19.88,38330.0,38330.0
2023-12-21,19.95,20.03,20.55,19.65,40292.0,40292.0
2023-12-22,19.96,19.59,19.99,19.5,29922.0,29922.0
2023-12-25,19.65,19.32,19.84,19.2,28643.0,28643.0
2023-12-26,19.42,18.86,19.42,18.76,31456.0,31456.0
2023-12-27,18.91,18.97,19.03,18.6,39289.0,39289.0
2023-12-28,18.98,19.44,19.5,18.68,39828.0,39828.0
2023-12-29,19.43,19.71,19.81,19.39,27290.0,27290.0
2024-01-02,20.09,19.8,20.48,19.59,40032.0,40032.0
2024-01-03,20.0,19.63,20.0,19.47,23460.0,23460.0
2024-01-04,19.53,21.59,21.59,19.47,105377.0,105377.0
2024-01-05,21.6,20.9,21.95,20.73,142359.0,142359.0
2024-01-08,20.63,20.55,21.23,20.35,79956.0,79956.0
2024-01-09,20.56,20.28,20.78,19.89,75226.0,75226.0
2024-01-10,20.08,19.61,20.16,19.3,54450.0,54450.0
2024-01-11,19.78,21.57,21.57,19.61,60821.0,60821.0
2024-01-12,22.79,22.22,23.47,22.05,243702.0,243702.0
2024-01-15,21.77,22.03,22.47,21.63,117820.0,117820.0
2024-01-16,22.1,22.02,22.49,21.5,92417.0,92417.0
